스킬ID,스킬명,아이콘,조건1,조건2 (없을 시 공란),조건3 (없을 시 공란),조건4 (없을 시 공란),효과분류1,효과수치1,지속시간1,효과분류2 (없을 시 공란),효과수치2 (없을 시 공란),지속시간2 (없을 시 공란),효과분류3 (없을 시 공란),효과수치3 (없을 시 공란),지속시간3 (없을 시 공란)
SK001,최강의 닌자가 될 애송이,고유.png,5구간~10구간 무작위,,,,목표 속도 증가,0.25,5,,,,,,
SK002,용기 100%,근성.png,최종 코너 진입,,,,근성 증가,60,5,,,,,,
SK003,신고 받고 왔습니다,고유.png,레이스 중반 무작위,,,,목표 속도 증가,0.2,3,현재 속도 증가,0.2,3,,,
SK004,피날레,속도.png,최종 직선 진입,순위 50% 이하,,,목표 속도 증가,0.25,2.4,가속도 증가,0.1,2.4,,,
SK005,아 원 투 쓰리 포~,고유.png,11구간~16구간 무작위,,,,목표 속도 증가,0.35,3,,,,,,
SK006,컨셉 흡혈,디버프 지구력.png,레이스 중반 이후,근처에 주자,,,근처에 있는 주자 지구력 감소,-2,,,,,,,
SK007,아가씨를 지켜라,고유.png,레이스 중반 무작위,,,,목표 속도 증가,0.2,2.4,파워 증가,80,2.4,,,
SK008,감전딸,파워.png,무작위 코너,,,,파워 증가,60,4,,,,,,
SK009,YES I'M A SUPERSTAR,고유.png,11구간 이후,근처에 주자가 둘 이상,,,근처에 있는 주자 파워 감소,-60,5,근처에 있는 주자 근성 감소,-60,5,,,
SK010,유니크스킬은 역시 젠황,고유.png,무작위 직선,,,,파워 증가,100,5,가속도 감소,-0.1,5,,,
SK011,나 인스타그램의 수셈이라고!,고유.png,11구간~16구간 무작위,순위 20%~80%,,,가속도 증가,0.3,1.2,파워 증가,150,1.2,,,
SK012,잠시 제 방으로…,디버프 속도.png,11구간 이후,옆이 가로막힘 2초 이상,,,옆에 있는 주자 목표 속도 감소,-0.2,3,,,,,,
SK013,쿰타버스에 영광을,고유.png,레이스 종반,최종 코너,순위 50% 이상,,파워 증가,80,4,근성 증가,80,4,,,
SK014,V I C T O R Y !,고유.png,11구간 이후 무작위,,,,속도 증가,0.2,4,현재 속도 증가,0.2,4,가속도 증가,0.08,4
SK015,비타민 보충,지구력.png,16구간 이후 무작위,,,,지구력 회복,3,,,,,,,
SK016,맑은 눈의 광인,디버프 속도.png,11구간 이후,앞이 가로막힘 2초 이상,,,앞에 있는 주자 목표 속도 감소,-0.2,3,,,,,,
SK017,"최악의 빌런, 이 몸 등장!",고유.png,레이스 종반 무작위,순위 70% 이하,,,목표 속도 증가,0.3,4,,,,,,
SK018,야 내 파트다!,디버프 속도.png,레이스 중반 이후,무작위 코너,바로 뒤에 주자 2초 이상,,뒤에 있는 주자 목표 속도 감소,-0.2,3,,,,,,
SK019,짖어봐 돼지 녀석들아,고유.png,16구간 이후,근처에 주자가 둘 이상,,,근처에 있는 주자 지구력 감소,-3,,근처에 있는 주자 근성 감소,-60,5,,,
SK020,타코타코ㅠㅠ,지구력.png,11구간 이후,무작위 직선,,,지구력 회복,3,,,,,,,
SK021,종이의 악마,고유.png,레이스 종반 무작위,순위 50% 이상,,,파워 증가,120,3,,,,,,
SK022,치명적인 치성,고유.png,레이스 중반 무작위,순위 50% 이상,,,목표 속도 증가,0.4,3,,,,,,
SK023,이럴거면 부르디 마시디,디버프 지구력.png,10구간 이전,근처에 주자가 둘 이상,,,근처에 있는 주자 지구력 감소,-1.5,,,,,,,
SK024,경기. 끝.,고유.png,최종 직선 진입 후 5초 이상,순위 30% 이하,앞이 가로막히지 않음,,목표 속도 증가,0.5,2.4,,,,,,
SK025,짬통스의 반란,가속도.png,최종 코너 진입,순위 50% 이상,,,가속도 증가,0.15,6,,,,,,
SK026,오니 파민아,고유.png,레이스 중반,무작위 코너,근처에 주자가 둘 이상,,근처에 있는 주자 목표 속도 감소,-0.25,4,,,,,,
SK027,13남자,속도.png,레이스 초반,코너 진입,,,목표 속도 증가,0.15,3,파워 증가,40,3,,,
SK028,태초에 대상현의 1,고유.png,레이스 시작,,,,가속도 증가,0.5,2,,,,,,
SK029,합방 감초,속도.png,무작위,,,,목표 속도 증가,0.25,3,,,,,,
SK030,이게 노망이 났나,디버프 파워.png,레이스 중반 이후,무작위 코너,앞이 가로막힘 2초 이상,,근처에 있는 주자 파워 감소,-60,3,,,,,,
SK031,증명의 의인화,고유.png,무작위,,,,목표 속도 증가,0.5,1.2,가속도 증가,0.1,1.2,,,
SK032,민심컨의 황제,속도.png,레이스 종반,최종 직선,순위 5위 이내,,목표 속도 증가,0.25,3,지구력 회복,1.5,,,,
SK033,알잘딱의 화신,고유.png,최종 코너 진입,,,,목표 속도 증가,0.15,5,현재 속도 증가,0.15,5,가속도 증가,0.05,5
SK034,아 오셨군요,지구력.png,레이스 중반,직선 진입,,,지구력 회복,3,,,,,,,
SK035,잠깐 나올래,속도.png,11구간~16구간 무작위,,,,목표 속도 증가,0.25,3,,,,,,
SK036,그리마의 삶,고유.png,레이스 중반 이후,무작위 직선,,,속도 증가,0.3,5,가속도 감소,-0.03,5,,,
SK037,잔디 먹고 레벨업,지구력.png,무작위 코너,,,,지구력 회복,4,,목표 속도 감소,-0.1,2.4,,,
SK038,쟈 와루도!,파워.png,레이스 중반 이후,무작위 직선,,,파워 증가,60,4,,,,,,
SK039,홀리몰리과카몰리캘리칼리왁?,가속도.png,레이스 중반 이후,무작위 직선,,,가속도 증가,0.15,5,,,,,,
SK040,앞굽뒤찌,속도.png,최종 직선,앞이 가로막힘 2초 이상,,,목표 속도 증가,0.2,4,,,,,,
SK041,오늘도 정의로운 도둑이 되,고유.png,5구간~10구간 무작위,근처에 주자가 둘 이상,,,지구력 회복,2.5,,근처에 있는 주자 지구력 감소,-0.5,,,,
SK042,상현들 목을 다 따버릴 겁니다,고유.png,5구간~10구간 무작위,앞이 가로막힘 2초 이상,,,앞에 있는 주자 목표 속도 감소,-0.4,2.4,,,,,,
SK043,좃!같은 게임,디버프 파워.png,레이스 종반,근처에 주자,,,근처에 있는 주자 파워 감소,-80,2,,,,,,
SK044,두쫀쿠 먹어보겠습니다 앙~,고유.png,레이스 종반,최종 코너,,,지구력 회복,5,,,,,,,
SK045,500원행동,디버프 지구력.png,레이스 중반 이후,순위 50% 이상,근처에 주자가 둘 이상,,근처에 있는 주자 지구력 감소,-3,,,,,,,
SK046,망령이 좃으로 보이냐?,가속도.png,최종 직선,순위 50% 이상,,,가속도 증가,0.4,1,,,,,,
SK047,바람 풍!,고유.png,레이스 중반,무작위 직선,,,목표 속도 증가,0.2,3,가속도 증가,0.09,3,,,
SK048,키스를 갈겨버려,파워.png,3구간~4구간 무작위,,,,파워 증가,100,1.8,,,,,,
SK049,제 질투는 진심이에요,고유.png,레이스 중반,무작위 코너,옆이 가로막힘 2초 이상,,옆에 있는 주자 목표 속도 감소,-4,2.4,,,,,,
SK050,여자아이는 강하다구요!,속도.png,레이스 중반 무작위,순위 50% 이하,,,목표 속도 증가,0.25,3,,,,,,
SK051,부의 혀,고유.png,레이스 종반,근처에 주자가 둘 이상,,,근처에 있는 주자 지구력 감소,-4,,,,,,,
SK052,안심하세요 도둑입니다,고유.png,레이스 중반,근처에 주자,,,목표 속도 증가,0.2,4,근처에 있는 주자 목표 속도 감소,-0.2,4,,,
SK053,전력으로 상대해드리겠습니다,가속도.png,5구간~10구간 무작위,,,,가속도 증가,0.2,3,,,,,,
SK054,이게 내 세상이여,고유.png,레이스 중반,코너 진입,,,나를 제외한 주자 근성 감소,-40,3,,,,,,
SK055,배가 고파졌다,지구력.png,첫 코너 무작위,,,,지구력 회복,3,,,,,,,
SK056,꿀렁꿀렁,속도.png,레이스 중반 이후,순위 50% 이상,,,목표 속도 증가,0.2,4,,,,,,
SK057,살상모드 ON,고유.png,5구간~10구간 무작위,옆이 가로막힘 2초 이상,,,목표 속도 증가,0.3,2.4,파워 증가,40,2.4,,,
SK058,돌아가고 싶어 나 그때처럼,속도.png,최종 코너 진입,,,,목표 속도 증가,0.25,3,,,,,,
SK059,흫흫흣 스바라시,고유.png,레이스 중반,직선,순위 40% 이하,,목표 속도 증가,0.25,3,현재 속도 증가,0.25,3,,,
SK060,프리터 댄스,속도.png,레이스 중반 이후,무작위 코너,,,목표 속도 증가,0.3,3,,,,,,
SK061,스스로 단두대에 올라겍,디버프 속도.png,레이스 중반,직선,근처에 주자,,근처에 있는 주자 목표 속도 감소,-0.25,2,,,,,,
SK062,융단폭격,고유.png,11구간~16구간 무작위,둘러싸임,,,근처에 있는 주자 목표 속도 감소,-0.3,1.8,근처에 있는 주자 파워 감소,-80,1.8,,,
SK063,고멤들요즘너무편하지않나?,디버프 지구력.png,11구간~16구간 무작위,근처에 주자가 둘 이상,,,근처에 있는 주자 지구력 감소,-3,,,,,,,
SK064,욘욘욘 하석들,근성.png,3구간~4구간 무작위,바로 뒤에 주자 2초 이상,,,근성 증가,60,3,,,,,,
SK065,싸패안,디버프 근성.png,최종 코너 이후,근처에 주자가 둘 이상,,,근처에 있는 주자 근성 감소,-60,5,,,,,,
SK066,땅울림,디버프 파워.png,레이스 중반 이후,무작위 직선,근처에 주자가 둘 이상,,근처에 있는 주자 파워 감소,-60,3,,,,,,
SK067,뻐킹어글리코리안쏘이지스멜,파워.png,무작위 직선,,,,파워 증가,80,3,,,,,,
SK068,객관 도리후토,가속도.png,레이스 초반 또는 종반,무작위 코너,,,가속도 증가,0.3,1.8,,,,,,
SK069,똥겜 페이커,속도.png,레이스 중반 이후,옆이 가로막힘 5초 이상,,,속도 증가,0.25,5,,,,,,
SK070,개미털기,근성.png,레이스 종반,둘러싸임,,,근성 증가,30,8,,,,,,
SK071,밤가이,가속도.png,레이스 초반 무작위,순위 50% 이상,,,가속도 증가,0.45,1,,,,,,
SK072,갈!,파워.png,3구간~4구간 무작위,앞이 가로막힘 2초 이상,,,파워 증가,80,2.4,,,,,,
SK073,꼬우면 자네가 하게,근성.png,16구간 진입,바로 뒤에 주자 2초 이상,,,근성 증가,60,3,,,,,,
SK074,창천 드리프트,속도.png,무작위 코너,레인 0.4 이내,,,목표 속도 증가,0.35,1.8,,,,,,
SK075,점메추,지구력.png,레이스 중반 무작위,,,,지구력 회복,3,,,,,,,
SK076,저메추,지구력.png,레이스 종반 무작위,,,,지구력 회복,3,,,,,,,
SK077,버거의 호흡,지구력.png,무작위 직선,,,,지구력 회복,3,,근성 증가,60,5,,,
SK078,치킨의 호흡,지구력.png,무작위 코너,,,,지구력 회복,3,,파워 증가,60,5,,,
